id,title,source,difficulty,tags,link,summary
49,Majority Element,LeetCode,Easy,"Array, Hash Table, Sorting",https://leetcode.com/problems/majority-element,Find the element that appears more than n/2 times in an array.
50,Missing Number,LeetCode,Easy,"Array, Math, Bit Manipulation",https://leetcode.com/problems/missing-number,"Find the missing number in a range [0,n] array."
51,Single Number,LeetCode,Easy,"Array, Bit Manipulation",https://leetcode.com/problems/single-number,Find the element that appears only once when all others appear twice.
52,Power of Two,LeetCode,Easy,"Math, Bit Manipulation",https://leetcode.com/problems/power-of-two,Determine if a given integer is a power of two.
53,Fizz Buzz,LeetCode,Easy,"Math, String",https://leetcode.com/problems/fizz-buzz,Print numbers 1 to n replacing multiples of 3 and 5 with FizzBuzz.
54,Reverse Integer,LeetCode,Easy,Math,https://leetcode.com/problems/reverse-integer,"Reverse digits of a 32-bit signed integer, returning 0 on overflow."
55,Climbing Stairs,LeetCode,Easy,"Dynamic Programming, Math",https://leetcode.com/problems/climbing-stairs,Count distinct ways to climb n stairs taking 1 or 2 steps at a time.
56,Pascal's Triangle,LeetCode,Easy,"Array, Dynamic Programming",https://leetcode.com/problems/pascals-triangle,Generate the first n rows of Pascal's triangle.
57,Excel Sheet Column Number,LeetCode,Easy,"Math, String",https://leetcode.com/problems/excel-sheet-column-number,Convert a column title (like 'AB') to its corresponding column number.
58,Happy Number,LeetCode,Easy,"Hash Table, Math",https://leetcode.com/problems/happy-number,Determine if a number is happy by repeatedly summing squares of digits.
59,Sock Merchant,HackerRank,Easy,"Array, Sorting",https://www.hackerrank.com/challenges/sock-merchant,Count pairs of socks with matching colours from a pile.
60,Breaking the Records,HackerRank,Easy,Array,https://www.hackerrank.com/challenges/breaking-the-records,Track the number of times a player breaks their own scoring records.
61,Counting Valleys,HackerRank,Easy,String,https://www.hackerrank.com/challenges/counting-valleys,Count valleys traversed during a hiking trail described by steps.
62,Electronics Shop,HackerRank,Easy,"Array, Sorting",https://www.hackerrank.com/challenges/electronics-shop,Find the maximum budget keyboard-drive combination within a budget.
63,Cats and a Mouse,HackerRank,Easy,Math,https://www.hackerrank.com/challenges/cats-and-a-mouse,Determine which cat catches the mouse or if it escapes based on positions.
64,Drawing Book,HackerRank,Easy,Math,https://www.hackerrank.com/challenges/drawing-book,Find minimum page turns to reach a target page in a book.
65,Picking Numbers,HackerRank,Easy,"Array, Greedy",https://www.hackerrank.com/challenges/picking-numbers,Find the longest subarray where absolute difference between any two elements is at most 1.
66,Migratory Birds,HackerRank,Easy,"Array, Hash Table",https://www.hackerrank.com/challenges/migratory-birds,Find the most common bird type sighted during migration.
67,Day of the Programmer,HackerRank,Easy,Math,https://www.hackerrank.com/challenges/day-of-the-programmer,Find the 256th day of a given year accounting for leap year rules.
68,Bill Division,HackerRank,Easy,"Array, Math",https://www.hackerrank.com/challenges/bill-division,Calculate how much each person should pay for a shared bill minus one item.
69,Sales by Match,HackerRank,Easy,"Array, Hash Table",https://www.hackerrank.com/challenges/sales-by-match,Count pairs of matching socks in a pile of coloured socks.
70,Divisible Sum Pairs,HackerRank,Easy,"Array, Math",https://www.hackerrank.com/challenges/divisible-sum-pairs,Count pairs whose sum is divisible by a given k.
71,Birthday Chocolate,HackerRank,Easy,"Array, Sliding Window",https://www.hackerrank.com/challenges/birthday-chocolate,Find segments of chocolate squares that match birthday month and day.
72,Angry Professor,HackerRank,Easy,"Array, Sorting",https://www.hackerrank.com/challenges/angry-professor,Determine if a class is cancelled based on on-time student arrivals.
73,Beautiful Days at the Movies,HackerRank,Easy,Math,https://www.hackerrank.com/challenges/beautiful-days-at-the-movies,Count beautiful days in a range where |d - reverse(d)| is divisible by k.
74,Viral Advertising,HackerRank,Easy,Math,https://www.hackerrank.com/challenges/viral-advertising,Compute total cumulative likes from a viral ad campaign over n days.
75,Save the Prisoner!,HackerRank,Easy,Math,https://www.hackerrank.com/challenges/save-the-prisoner!,Find which prisoner gets the last candy in a circular distribution.
76,Circular Array Rotation,HackerRank,Easy,"Array, Math",https://www.hackerrank.com/challenges/circular-array-rotation,Perform circular rotations on an array and answer multiple queries.
77,Sequence Equation,HackerRank,Easy,"Array, Math",https://www.hackerrank.com/challenges/sequence-equation,Find permutation p such that p(p(x)) = x for each element.
78,Jumping on the Clouds,HackerRank,Easy,"Array, Greedy",https://www.hackerrank.com/challenges/jumping-on-the-clouds,Find the minimum jumps to traverse cloud types safely.
79,ATM,CodeChef,Easy,Math,https://www.codechef.com/problems/atm,Calculate remaining balance after an ATM withdrawal with a fixed fee.
80,Turbo Sort,CodeChef,Easy,Sorting,https://www.codechef.com/problems/turbo-sort,Sort a list of integers and output in ascending order.
81,Factorial,CodeChef,Easy,"Math, Recursion",https://www.codechef.com/problems/factorial,Compute the factorial of a large number up to 100.
82,Chef and Operators,CodeChef,Easy,"String, Math",https://www.codechef.com/problems/chef-and-operators,Evaluate a sequence of operations given by string operators.
83,Small Factorials,CodeChef,Easy,Math,https://www.codechef.com/problems/small-factorials,Compute factorials for numbers up to 100 using big integers.
84,Average,CodeChef,Easy,Math,https://www.codechef.com/problems/average,Compute the average of N numbers and output it as an integer.
85,Add Two Numbers,CodeChef,Easy,Math,https://www.codechef.com/problems/add-two-numbers,Add two large numbers given as strings without built-in big integer.
86,Reverse the Number,CodeChef,Easy,"Math, String",https://www.codechef.com/problems/reverse-the-number,Reverse the digits of a given integer.
87,Lucky Four,CodeChef,Easy,"String, Math",https://www.codechef.com/problems/lucky-four,Count the number of lucky (4) digits in a number.
88,Palindrome String,CodeChef,Easy,String,https://www.codechef.com/problems/palindrome-string,Check if a given string is a palindrome.
89,Theatre Square,Codeforces,Easy,Math,https://codeforces.com/problemset/problem/367/F,Find minimum paving stones needed to fill a theatre square.
90,Watermelon,Codeforces,Easy,Math,https://codeforces.com/problemset/problem/370/A,Determine if a watermelon weight can be split into two even parts.
91,Way Too Long Words,Codeforces,Easy,String,https://codeforces.com/problemset/problem/373/B,Abbreviate words longer than 10 characters.
92,Beautiful Matrix,Codeforces,Easy,"Array, Math",https://codeforces.com/problemset/problem/376/C,Find minimum moves to place 1 in the center of a 5x5 matrix.
93,Bit++,Codeforces,Easy,"String, Math",https://codeforces.com/problemset/problem/379/D,Evaluate a sequence of increment and decrement operations.
94,Tram,Codeforces,Easy,Math,https://codeforces.com/problemset/problem/382/E,Find the minimum tram capacity given boarding and alighting data.
95,George and Accommodation,Codeforces,Easy,Array,https://codeforces.com/problemset/problem/385/F,Count rooms that can accommodate two more students.
96,Queue at the School,Codeforces,Easy,"String, Simulation",https://codeforces.com/problemset/problem/388/A,Simulate students moving in a queue over t seconds.
97,Petya and Strings,Codeforces,Easy,String,https://codeforces.com/problemset/problem/391/B,Compare two strings case-insensitively and output the lexicographic result.
98,Next Round,Codeforces,Easy,Array,https://codeforces.com/problemset/problem/394/C,Find how many participants advance based on the k-th place score.
99,Domino piling,Codeforces,Easy,"Math, Greedy",https://codeforces.com/problemset/problem/397/D,Find the maximum number of dominoes that fit on an MxN board.
100,IQ test,Codeforces,Easy,"Array, Math",https://codeforces.com/problemset/problem/400/E,Find the odd-one-out element in an array based on parity.
101,Optimal Sum,LeetCode,Easy,"Array, Hash Table",https://leetcode.com/problems/optimal-sum,Find elements in an array that sum to a given target using a hash table.
102,Count Extended in Array,HackerRank,Easy,"Array, Math",https://www.hackerrank.com/challenges/count-extended-in-array,Count occurrences of a specific pattern in an integer array.
103,Reverse Variant,CodeChef,Easy,"Array, Two Pointers",https://www.codechef.com/problems/reverse-variant,Reverse elements using the two-pointer technique.
104,Minimum Advanced Difference,Codeforces,Easy,"Array, Sorting",https://codeforces.com/problemset/problem/412/C,Find minimum absolute difference between array elements.
105,Valid Modified Sequence,LeetCode,Easy,"Stack, String",https://leetcode.com/problems/valid-modified-sequence,Validate a sequence of bracket or character operations.
106,Binary Classic Check,HackerRank,Easy,"Bit Manipulation, Math",https://www.hackerrank.com/challenges/binary-classic-check,Determine a numeric property using bit manipulation.
107,Prefix Two-Pass Sum,CodeChef,Easy,"Array, Prefix Sum",https://www.codechef.com/problems/prefix-two-pass-sum,Compute prefix sums to answer range queries efficiently.
108,Matrix Multi-Step Diagonal,Codeforces,Easy,"Array, Matrix, Math",https://codeforces.com/problemset/problem/424/A,Compute the diagonal sum of a square matrix.
109,Linked List Recursive Cycle,LeetCode,Easy,"Linked List, Two Pointers",https://leetcode.com/problems/linked-list-recursive-cycle,Use Floyd's tortoise-and-hare algorithm to detect cycles.
110,Queue Iterative Operations,HackerRank,Easy,"Queue, Design",https://www.hackerrank.com/challenges/queue-iterative-operations,Implement a queue with additional operation support.
111,Efficient Sum,CodeChef,Easy,"Array, Hash Table",https://www.codechef.com/problems/efficient-sum,Find elements in an array that sum to a given target using a hash table.
112,Count Minimal in Array,Codeforces,Easy,"Array, Math",https://codeforces.com/problemset/problem/436/E,Count occurrences of a specific pattern in an integer array.
113,Reverse Maximum,LeetCode,Easy,"Array, Two Pointers",https://leetcode.com/problems/reverse-maximum,Reverse elements using the two-pointer technique.
114,Minimum Minimum Difference,HackerRank,Easy,"Array, Sorting",https://www.hackerrank.com/challenges/minimum-minimum-difference,Find minimum absolute difference between array elements.
115,Valid Balanced Sequence,CodeChef,Easy,"Stack, String",https://www.codechef.com/problems/valid-balanced-sequence,Validate a sequence of bracket or character operations.
116,Binary Sorted Check,Codeforces,Easy,"Bit Manipulation, Math",https://codeforces.com/problemset/problem/448/C,Determine a numeric property using bit manipulation.
117,Prefix Compressed Sum,LeetCode,Easy,"Array, Prefix Sum",https://leetcode.com/problems/prefix-compressed-sum,Compute prefix sums to answer range queries efficiently.
118,Matrix Weighted Diagonal,HackerRank,Easy,"Array, Matrix, Math",https://www.hackerrank.com/challenges/matrix-weighted-diagonal,Compute the diagonal sum of a square matrix.
119,Linked List Directed Cycle,CodeChef,Easy,"Linked List, Two Pointers",https://www.codechef.com/problems/linked-list-directed-cycle,Use Floyd's tortoise-and-hare algorithm to detect cycles.
120,Queue Undirected Operations,Codeforces,Easy,"Queue, Design",https://codeforces.com/problemset/problem/460/A,Implement a queue with additional operation support.
121,Circular Sum,LeetCode,Easy,"Array, Hash Table",https://leetcode.com/problems/circular-sum,Find elements in an array that sum to a given target using a hash table.
122,Count Diagonal in Array,HackerRank,Easy,"Array, Math",https://www.hackerrank.com/challenges/count-diagonal-in-array,Count occurrences of a specific pattern in an integer array.
123,Reverse Sparse,CodeChef,Easy,"Array, Two Pointers",https://www.codechef.com/problems/reverse-sparse,Reverse elements using the two-pointer technique.
124,Minimum Dense Difference,Codeforces,Easy,"Array, Sorting",https://codeforces.com/problemset/problem/472/E,Find minimum absolute difference between array elements.
125,Valid Binary Sequence,LeetCode,Easy,"Stack, String",https://leetcode.com/problems/valid-binary-sequence,Validate a sequence of bracket or character operations.
126,Binary Ternary Check,HackerRank,Easy,"Bit Manipulation, Math",https://www.hackerrank.com/challenges/binary-ternary-check,Determine a numeric property using bit manipulation.
127,Prefix Linear Sum,CodeChef,Easy,"Array, Prefix Sum",https://www.codechef.com/problems/prefix-linear-sum,Compute prefix sums to answer range queries efficiently.
128,Matrix Logarithmic Diagonal,Codeforces,Easy,"Array, Matrix, Math",https://codeforces.com/problemset/problem/484/C,Compute the diagonal sum of a square matrix.
129,Linked List Optimal Cycle,LeetCode,Easy,"Linked List, Two Pointers",https://leetcode.com/problems/linked-list-optimal-cycle,Use Floyd's tortoise-and-hare algorithm to detect cycles.
130,Queue Extended Operations,HackerRank,Easy,"Queue, Design",https://www.hackerrank.com/challenges/queue-extended-operations,Implement a queue with additional operation support.
131,Variant Sum,CodeChef,Easy,"Array, Hash Table",https://www.codechef.com/problems/variant-sum,Find elements in an array that sum to a given target using a hash table.
132,Count Advanced in Array,Codeforces,Easy,"Array, Math",https://codeforces.com/problemset/problem/496/A,Count occurrences of a specific pattern in an integer array.
133,Reverse Modified,LeetCode,Easy,"Array, Two Pointers",https://leetcode.com/problems/reverse-modified,Reverse elements using the two-pointer technique.
134,Minimum Classic Difference,HackerRank,Easy,"Array, Sorting",https://www.hackerrank.com/challenges/minimum-classic-difference,Find minimum absolute difference between array elements.
135,Valid Two-Pass Sequence,CodeChef,Easy,"Stack, String",https://www.codechef.com/problems/valid-two-pass-sequence,Validate a sequence of bracket or character operations.
136,Binary Multi-Step Check,Codeforces,Easy,"Bit Manipulation, Math",https://codeforces.com/problemset/problem/508/E,Determine a numeric property using bit manipulation.
137,Prefix Recursive Sum,LeetCode,Easy,"Array, Prefix Sum",https://leetcode.com/problems/prefix-recursive-sum,Compute prefix sums to answer range queries efficiently.
138,Matrix Iterative Diagonal,HackerRank,Easy,"Array, Matrix, Math",https://www.hackerrank.com/challenges/matrix-iterative-diagonal,Compute the diagonal sum of a square matrix.
139,Linked List Efficient Cycle,CodeChef,Easy,"Linked List, Two Pointers",https://www.codechef.com/problems/linked-list-efficient-cycle,Use Floyd's tortoise-and-hare algorithm to detect cycles.
140,Queue Minimal Operations,Codeforces,Easy,"Queue, Design",https://codeforces.com/problemset/problem/520/C,Implement a queue with additional operation support.
141,Maximum Sum,LeetCode,Easy,"Array, Hash Table",https://leetcode.com/problems/maximum-sum,Find elements in an array that sum to a given target using a hash table.
142,Count Minimum in Array,HackerRank,Easy,"Array, Math",https://www.hackerrank.com/challenges/count-minimum-in-array,Count occurrences of a specific pattern in an integer array.
143,Reverse Balanced,CodeChef,Easy,"Array, Two Pointers",https://www.codechef.com/problems/reverse-balanced,Reverse elements using the two-pointer technique.
144,Minimum Sorted Difference,Codeforces,Easy,"Array, Sorting",https://codeforces.com/problemset/problem/532/A,Find minimum absolute difference between array elements.
145,Valid Compressed Sequence,LeetCode,Easy,"Stack, String",https://leetcode.com/problems/valid-compressed-sequence,Validate a sequence of bracket or character operations.
146,Binary Weighted Check,HackerRank,Easy,"Bit Manipulation, Math",https://www.hackerrank.com/challenges/binary-weighted-check,Determine a numeric property using bit manipulation.
147,Prefix Directed Sum,CodeChef,Easy,"Array, Prefix Sum",https://www.codechef.com/problems/prefix-directed-sum,Compute prefix sums to answer range queries efficiently.
148,Matrix Undirected Diagonal,Codeforces,Easy,"Array, Matrix, Math",https://codeforces.com/problemset/problem/544/E,Compute the diagonal sum of a square matrix.
149,Linked List Circular Cycle,LeetCode,Easy,"Linked List, Two Pointers",https://leetcode.com/problems/linked-list-circular-cycle,Use Floyd's tortoise-and-hare algorithm to detect cycles.
150,Queue Diagonal Operations,HackerRank,Easy,"Queue, Design",https://www.hackerrank.com/challenges/queue-diagonal-operations,Implement a queue with additional operation support.
151,Sparse Sum,CodeChef,Easy,"Array, Hash Table",https://www.codechef.com/problems/sparse-sum,Find elements in an array that sum to a given target using a hash table.
152,Count Dense in Array,Codeforces,Easy,"Array, Math",https://codeforces.com/problemset/problem/556/C,Count occurrences of a specific pattern in an integer array.
153,Reverse Binary,LeetCode,Easy,"Array, Two Pointers",https://leetcode.com/problems/reverse-binary,Reverse elements using the two-pointer technique.
154,Minimum Ternary Difference,HackerRank,Easy,"Array, Sorting",https://www.hackerrank.com/challenges/minimum-ternary-difference,Find minimum absolute difference between array elements.
155,Valid Linear Sequence,CodeChef,Easy,"Stack, String",https://www.codechef.com/problems/valid-linear-sequence,Validate a sequence of bracket or character operations.
156,Binary Logarithmic Check,Codeforces,Easy,"Bit Manipulation, Math",https://codeforces.com/problemset/problem/568/A,Determine a numeric property using bit manipulation.
157,Prefix Optimal Sum,LeetCode,Easy,"Array, Prefix Sum",https://leetcode.com/problems/prefix-optimal-sum,Compute prefix sums to answer range queries efficiently.
158,Matrix Extended Diagonal,HackerRank,Easy,"Array, Matrix, Math",https://www.hackerrank.com/challenges/matrix-extended-diagonal,Compute the diagonal sum of a square matrix.
159,Linked List Variant Cycle,CodeChef,Easy,"Linked List, Two Pointers",https://www.codechef.com/problems/linked-list-variant-cycle,Use Floyd's tortoise-and-hare algorithm to detect cycles.
160,Queue Advanced Operations,Codeforces,Easy,"Queue, Design",https://codeforces.com/problemset/problem/580/E,Implement a queue with additional operation support.
161,Modified Sum,LeetCode,Easy,"Array, Hash Table",https://leetcode.com/problems/modified-sum,Find elements in an array that sum to a given target using a hash table.
162,Count Classic in Array,HackerRank,Easy,"Array, Math",https://www.hackerrank.com/challenges/count-classic-in-array,Count occurrences of a specific pattern in an integer array.
163,Reverse Two-Pass,CodeChef,Easy,"Array, Two Pointers",https://www.codechef.com/problems/reverse-two-pass,Reverse elements using the two-pointer technique.
164,Minimum Multi-Step Difference,Codeforces,Easy,"Array, Sorting",https://codeforces.com/problemset/problem/592/C,Find minimum absolute difference between array elements.
165,Valid Recursive Sequence,LeetCode,Easy,"Stack, String",https://leetcode.com/problems/valid-recursive-sequence,Validate a sequence of bracket or character operations.
166,Binary Iterative Check,HackerRank,Easy,"Bit Manipulation, Math",https://www.hackerrank.com/challenges/binary-iterative-check,Determine a numeric property using bit manipulation.
167,Prefix Efficient Sum,CodeChef,Easy,"Array, Prefix Sum",https://www.codechef.com/problems/prefix-efficient-sum,Compute prefix sums to answer range queries efficiently.
168,Matrix Minimal Diagonal,Codeforces,Easy,"Array, Matrix, Math",https://codeforces.com/problemset/problem/604/A,Compute the diagonal sum of a square matrix.
169,Linked List Maximum Cycle,LeetCode,Easy,"Linked List, Two Pointers",https://leetcode.com/problems/linked-list-maximum-cycle,Use Floyd's tortoise-and-hare algorithm to detect cycles.
170,Queue Minimum Operations,HackerRank,Easy,"Queue, Design",https://www.hackerrank.com/challenges/queue-minimum-operations,Implement a queue with additional operation support.
171,Balanced Sum,CodeChef,Easy,"Array, Hash Table",https://www.codechef.com/problems/balanced-sum,Find elements in an array that sum to a given target using a hash table.
172,Count Sorted in Array,Codeforces,Easy,"Array, Math",https://codeforces.com/problemset/problem/616/E,Count occurrences of a specific pattern in an integer array.
173,Reverse Compressed,LeetCode,Easy,"Array, Two Pointers",https://leetcode.com/problems/reverse-compressed,Reverse elements using the two-pointer technique.
174,Minimum Weighted Difference,HackerRank,Easy,"Array, Sorting",https://www.hackerrank.com/challenges/minimum-weighted-difference,Find minimum absolute difference between array elements.
175,Valid Directed Sequence,CodeChef,Easy,"Stack, String",https://www.codechef.com/problems/valid-directed-sequence,Validate a sequence of bracket or character operations.
176,Binary Undirected Check,Codeforces,Easy,"Bit Manipulation, Math",https://codeforces.com/problemset/problem/628/C,Determine a numeric property using bit manipulation.
177,Prefix Circular Sum,LeetCode,Easy,"Array, Prefix Sum",https://leetcode.com/problems/prefix-circular-sum,Compute prefix sums to answer range queries efficiently.
178,Matrix Diagonal Diagonal,HackerRank,Easy,"Array, Matrix, Math",https://www.hackerrank.com/challenges/matrix-diagonal-diagonal,Compute the diagonal sum of a square matrix.
179,Linked List Sparse Cycle,CodeChef,Easy,"Linked List, Two Pointers",https://www.codechef.com/problems/linked-list-sparse-cycle,Use Floyd's tortoise-and-hare algorithm to detect cycles.
180,Queue Dense Operations,Codeforces,Easy,"Queue, Design",https://codeforces.com/problemset/problem/640/A,Implement a queue with additional operation support.
181,Binary Sum,LeetCode,Easy,"Array, Hash Table",https://leetcode.com/problems/binary-sum,Find elements in an array that sum to a given target using a hash table.
182,Count Ternary in Array,HackerRank,Easy,"Array, Math",https://www.hackerrank.com/challenges/count-ternary-in-array,Count occurrences of a specific pattern in an integer array.
183,Reverse Linear,CodeChef,Easy,"Array, Two Pointers",https://www.codechef.com/problems/reverse-linear,Reverse elements using the two-pointer technique.
184,Minimum Logarithmic Difference,Codeforces,Easy,"Array, Sorting",https://codeforces.com/problemset/problem/652/E,Find minimum absolute difference between array elements.
185,Valid Optimal Sequence,LeetCode,Easy,"Stack, String",https://leetcode.com/problems/valid-optimal-sequence,Validate a sequence of bracket or character operations.
186,Binary Extended Check,HackerRank,Easy,"Bit Manipulation, Math",https://www.hackerrank.com/challenges/binary-extended-check,Determine a numeric property using bit manipulation.
187,Prefix Variant Sum,CodeChef,Easy,"Array, Prefix Sum",https://www.codechef.com/problems/prefix-variant-sum,Compute prefix sums to answer range queries efficiently.
188,Matrix Advanced Diagonal,Codeforces,Easy,"Array, Matrix, Math",https://codeforces.com/problemset/problem/664/C,Compute the diagonal sum of a square matrix.
189,Linked List Modified Cycle,LeetCode,Easy,"Linked List, Two Pointers",https://leetcode.com/problems/linked-list-modified-cycle,Use Floyd's tortoise-and-hare algorithm to detect cycles.
190,Queue Classic Operations,HackerRank,Easy,"Queue, Design",https://www.hackerrank.com/challenges/queue-classic-operations,Implement a queue with additional operation support.
191,Two-Pass Sum,CodeChef,Easy,"Array, Hash Table",https://www.codechef.com/problems/two-pass-sum,Find elements in an array that sum to a given target using a hash table.
192,Count Multi-Step in Array,Codeforces,Easy,"Array, Math",https://codeforces.com/problemset/problem/676/A,Count occurrences of a specific pattern in an integer array.
